;; This is a kahuna data file for the year 2040
;; Comments are indicated by the two semicolons
;; The key of boundaries is л« (next year will be ла)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
9	4	246	134	216	13	13
9	5	247	135	215	13	13
9	6	248	136	214	13	13
9	7	249	137	213	13	13
9	8	250	138	212	13	13
9	9	251	139	211	13	13
9	10	252	140	210	13	13
9	11	253	141	209	14	14
9	12	254	142	208	14	14
9	13	255	143	207	14	14
9	14	256	144	206	14	14
9	15	257	145	205	14	14
9	16	258	146	204	14	14
9	17	259	147	203	14	14
9	18	260	148	202	15	18
9	19	261	149	201	15	18
9	20	262	150	200	15	18
9	21	263	151	199	15	18
9	22	264	152	198	15	18
9	23	265	153	197	15	18
9	24	266	154	196	15	18
9	25	267	155	195	16	19
9	26	268	156	194	16	19
9	27	269	157	193	16	19
9	28	270	158	192	16	19
9	29	271	159	191	16	19
9	30	272	160	190	16	19
10	1	273	161	189	16	19
10	2	274	162	188	17	20
10	3	275	163	187	17	20
10	4	276	164	186	17	20
10	5	277	165	185	17	20
10	6	278	166	184	17	20
10	7	279	167	183	17	20
10	8	280	168	182	17	20
10	9	281	169	181	18	21
10	10	282	170	180	18	21
10	11	283	171	179	18	21
10	12	284	172	178	18	21
10	13	285	173	177	18	21
10	14	286	174	176	18	21
10	15	287	175	175	18	21
10	16	288	176	174	19	22
10	17	289	177	173	19	22
10	18	290	178	172	19	22
10	19	291	179	171	19	22
10	20	292	180	170	19	22
10	21	293	181	169	19	22
10	22	294	182	168	19	22
10	23	295	183	167	20	23
10	24	296	184	166	20	23
10	25	297	185	165	20	23
10	26	298	186	164	20	23
10	27	299	187	163	20	23
10	28	300	188	162	20	23
10	29	301	189	161	20	23
10	30	302	190	160	21	24
10	31	303	191	159	21	24
11	1	304	192	158	21	24
11	2	305	193	157	21	24
11	3	306	194	156	21	24
11	4	307	195	155	21	24
11	5	308	196	154	21	24
11	6	309	197	153	22	25
11	7	310	198	152	22	25
11	8	311	199	151	22	25
11	9	312	200	150	22	25
11	10	313	201	149	22	25
11	11	314	202	148	22	25
11	12	315	203	147	22	25
11	13	316	204	146	23	26
11	14	317	205	145	23	26
11	15	318	206	144	23	26
11	16	319	207	143	23	26
11	17	320	208	142	23	26
11	18	321	209	141	23	26
11	19	322	210	140	23	26
11	20	323	211	139	24	27
11	21	324	212	138	24	27
11	22	325	213	137	24	27
11	23	326	214	136	24	27
11	24	327	215	135	24	27
11	25	328	216	134	24	27
11	26	329	217	133	24	27
11	27	330	218	132	25	28
11	28	331	219	131	25	28
11	29	332	220	130	25	28
11	30	333	221	129	25	28
12	1	334	222	128	25	28
12	2	335	223	127	25	28
12	3	336	224	126	25	30
12	4	337	225	125	26	29
12	5	338	226	124	26	29
12	6	339	227	123	26	29
12	7	340	228	122	26	29
12	8	341	229	121	26	29
12	9	342	230	120	28	31
12	10	343	231	119	26	29
12	11	344	232	118	27	15
12	12	345	233	117	27	15
12	13	346	234	116	27	15
12	14	347	235	115	27	15
12	15	348	236	114	27	15
12	16	349	237	113	27	30
12	17	350	238	112	29	28
12	18	351	239	111	28	16
12	19	352	240	110	28	16
12	20	353	241	109	28	16
12	21	354	242	108	28	16
12	22	355	243	107	28	16
12	23	356	244	106	26	29
12	24	357	245	105	
12	25	358	246	104	29	30
12	26	359	247	103	29	30
12	27	360	248	102	29	30
12	28	361	249	101	29	30
12	29	362	250	100	29	30
12	30	363	251	99	29	16
12	31	364	252	98	27	31
1	1	0	253	97	30	31
1	2	1	254	96	30	31
1	3	2	255	95	30	31
1	4	3	256	94	30	31
1	5	4	257	93	30	31
1	6	5	258	92	
1	7	6	259	91	30	16
1	8	7	260	90	31	32
1	9	8	261	89	31	32
1	10	9	262	88	31	32
1	11	10	263	87	31	32
1	12	11	264	86	31	32
1	13	12	265	85	31	17
1	14	13	266	84	31	17
1	15	14	267	83	32	33
1	16	15	268	82	32	33
1	17	16	269	81	32	33
1	18	17	270	80	32	33
1	19	18	271	79	32	33
1	20	19	272	78	32	32
1	21	20	273	77	32	32
1	22	21	274	76	33	33
1	23	22	275	75	33	33
1	24	23	276	74	33	33
1	25	24	277	73	33	33
1	26	25	278	72	33	33
1	27	26	279	71	33	33
